BASKETID,BASKETTYPE,latitude,longitude,STREETNAME1,STREETNAME2,SECTION
31320318,R,40.5764607574,-73.9845487933,MERMAID AV,W 17 ST,BKS132
31730056,S,40.6502243318,-73.9299779969,UTICA AV,SNYDER AV,BKN173
30930013,S,40.6560778442,-73.9499150071,NOSTRAND AV,PARKSIDE AV,BKN093
30320076,R,40.6812152072,-73.9554670201,FULTON ST,FRANKLIN AV,BKN032
31150036,S,40.5984975282,-73.9976881562,BAY PKWY,BATH AV,BKS115
30720123,S,40.6615878676,-73.9971488326,4 AV,23 ST,BKS072
30920089,R,40.6642000851,-73.9424551995,EMPIRE BLVD,KINGSTON AV,BKN092
30720011,S,40.6565286245,-74.0016842699,4 AV,32 ST,BKS072
31730066,S,40.6527055769,-73.9205385974,RALPH AV,CHURCH AV,BKN173
30330021,R,40.6896144868,-73.942026329,THROOP AV,GREENE AV,BKN033
31010009,H,40.6314964642,-74.0216073348,5 AV,72 ST,BKS101
31150059,S,40.6017099548,-73.9937610456,86 ST,BAY PKWY,BKS115
30410077,S,40.7059194108,-73.9221144191,WYCKOFF AV,STARR ST,BKN041
31110019,S,40.6198736112,-73.9896380704,18 AV,64 ST,BKS111
30240164,S,40.6934360276,-73.9739905059,Street Name TBD,,BKN024
31860021,S,40.6173972301,-73.9420121834,AV N,E 34 ST,BKS186
30240175,R,40.6976624531,-73.9705449175,FLUSHING AV,VANDERBILT AV,BKN024
30330129,R,40.6836005583,-73.9353470253,HALSEY ST,LEWIS AV,BKN033
30540063,S,40.6661766609,-73.8941514771,PENNSYLVANIA AV,DUMONT AV,BKN054
31820012,R,40.6355618556,-73.9136075851,FLATLANDS AV,E 80 ST,BKS182
30310019,R,40.6940678634,-73.945878334,TOMPKINS AV,WILLOUGHBY AV,BKN031
30510037,R,40.6707610877,-73.8954023319,PENNSYLVANIA AV,BELMONT AV,BKN051
31030108,S,40.6210724591,-74.0318521954,3 AV,90 ST,BKS103
30220032,H,40.6893286293,-73.9907438065,ATLANTIC AV,BOERUM PL,BKN022
31710077,S,40.6551426963,-73.9165537854,CHURCH AV,E 95 ST,BKN171
31610135,S,40.6701342844,-73.9200707007,ST JOHNS PLACE,HOWARD AV,BKN161
31610146,S,40.6735196221,-73.9169289067,SARATOGA AV,ST MARKS AVENUE,BKN161
31250009,S,40.6420847454,-73.9805689961,CHURCH AV,DAHILL RD,BKS125
30410159,R,40.700860363,-73.9263230791,WILSON AV,WILLOUGHBY AV,BKN041
31030057,S,40.62333006,-74.0313142949,86 ST,3 AV,BKS103
30810175,R,40.6812416408,-73.9740326234,6 AV,DEAN ST,BKN081
30110042,C,40.7303353824,-73.9540651685,MANHATTAN AV,GREENPOINT AV,BKN011
30420068,R,40.6980856094,-73.9208369962,WILSON AV,HARMAN ST,BKN042
30220184,C,40.6907680179,-73.9890999178,BOERUM PL,LIVINGSTON ST,BKN022
31040104,E,40.6171099369,-74.0140876617,12 AV,83 ST,BKS104
30410062,R,40.6978834317,-73.9257176668,DEKALB AVENUE,MYRTLE AV,BKN041
30110026,R,40.7342910615,-73.955124737,MANHATTAN AV,FREEMAN ST,BKN011
31010050,R,40.6346507747,-74.0262399567,3 AV,OVINGTON AV,BKS101
30410104,R,40.70460223,-73.91994302,WYCKOFF AV,HART ST,BKN041
30330182,C,40.6803275236,-73.9461914217,FULTON ST,MARCY AV,BKN033
31230003,S,40.6420229863,-73.9919008227,FT HAMILTON PKWY,41 ST,BKS123
30210224,C,40.6898191385,-73.981677238,FLATBUSH AV EX,DEKALB AVENUE,BKN021
30610040,S,40.6752702169,-73.9990617259,COURT ST,W 9 ST,BKS061
31250070,D,40.6383574573,-73.9733294182,OCEAN PKWY,CORTELYOU RD,BKS125
30720129,S,40.6455504852,-73.9987343528,8 AV,42 ST,BKS072
31840021,R,40.6244655937,-73.9175976069,RALPH AV,AV L,BKS184
31420036,S,40.6345785757,-73.9624196033,FOSTER AV,E 16 ST,BKS142
30120171,S,40.7176147429,-73.9576853283,N 7 ST,BEDFORD AV,BKN012
30220230,S,40.6836125612,-73.9841601118,WYCKOFF ST,NEVINS ST,BKN022
30830098,R,40.6690968497,-73.9308878388,UTICA AV,EASTERN PKWY,BKN083
30150059,S,40.7118891136,-73.9424253461,GRAND ST,HUMBOLDT ST,BKN015
31010005,H,40.6306742119,-74.0226721151,Street Name TBD,,BKS101
31010058,S,40.6365037378,-74.0255186357,3 AV,68 ST,BKS101
30630012,R,40.6762660733,-73.974029897,7 AV,ST JOHNS PLACE,BKS063
31610126,H,40.6706632224,-73.9050028223,PITKIN AV,SACKMAN ST,BKN161
31020046,H,40.6223716031,-74.0257235365,5 AV,85 ST,BKS102
30210195,R,40.6936119935,-73.9903055109,COURT ST,MONTAGUE ST,BKN021
30220155,S,40.6884198458,-73.992840774,COURT ST,DEAN ST,BKN022
31720050,S,40.6512744206,-73.9372621898,CHURCH AV,E 43 ST,BKN172
30210144,R,40.6959436589,-73.9953985535,PIERREPONT ST,HICKS ST,BKN021
30310064,R,40.6939434072,-73.9404327508,MARCUS GARVEY BLVD,HART ST,BKN031
31320033,S,40.5751206382,-73.9966226611,MERMAID AV,W 30 ST,BKS132
30920075,S,40.6635497263,-73.953648882,EMPIRE BLVD,ROGERS AV,BKN092
31430036,S,40.6354578922,-73.9580207817,OCEAN AV,FARRAGUT RD,BKS143
31440077,S,40.6282644388,-73.9571573508,OCEAN AV,AV I,BKS144
30240128,S,40.6936379608,-73.9789814942,NAVY ST,MYRTLE AV,BKN024
30130040,S,40.7183274576,-73.9409744246,WOODPOINT RD,FROST ST,BKN013
31010115,D,40.6346965638,-74.018413983,Street Name TBD,,BKS101
30110068,C,40.7200496432,-73.95509312,BEDFORD AV,N 11 ST,BKN011
31610098,S,40.6595949502,-73.9083709386,ROCKAWAY AV,NEWPORT ST,BKN161
30210018,S,40.696514654,-73.9915413035,CADMAN PLZ W,CLINTON STREET BIKE PATH,BKN021
30630061,H,40.6816682936,-73.9770892573,5 AV,BERGEN ST,BKS063
30620022,R,40.6829582215,-73.9928335319,SMITH ST,DE GRAW ST,BKS062
31310009,S,40.587134696,-73.9836742465,STILLWELL AV,HARWAY AV,BKS131
31030139,D,40.6178371115,-74.0390412067,SHORE RD,94 ST,BKS103
31840016,H,40.6197987366,-73.9161816575,AV N,E 64 ST,BKS184
30210277,H,40.7015860048,-73.9849205465,BRIDGE ST,YORK ST,BKN021
30420143,R,40.7015563603,-73.9185883788,IRVING AV,HIMROD ST,BKN042
30640107,R,40.6722524169,-73.9773694989,7 AV,GARFIELD PL,BKS064
31150061,S,40.6011885267,-74.000871741,BATH AV,BAY 25 ST,BKS115
30210243,C,40.69209694,-73.9874708088,JAY ST,WILLOUGHBY ST,BKN021
30220124,S,40.6867103587,-73.9847901556,ATLANTIC AV,BOND ST,BKN022
31410033,H,40.6499846325,-73.962115213,CHURCH AV,ST PAULS PLACE,BKS141
30410139,R,40.7036362654,-73.9271262331,KNICKERBOCKER AV,JEFFERSON ST,BKN041
30620058,R,40.6804599802,-73.9949375881,SMITH ST,CARROLL ST,BKS062
30720064,S,40.6635236993,-73.9907709843,5 AV,17 ST,BKS072
31620004,S,40.6810748778,-73.9115502372,ROCKAWAY AV,SUMPTER ST,BKN162
31420031,S,40.6436172954,-73.9698442833,CONEY ISLAND AV,BEVERLEY ROAD,BKS142
31510077,H,40.5975099211,-73.9694697652,AV U,E 2 ST,BKS151
31850017,R,40.6188866796,-73.9247300391,AV N,E 52 ST,BKS185
30650114,C,40.6688712588,-73.986299143,9 ST,5 AV,BKS065
30720117,S,40.6565905893,-74.0024274192,4 AV,32 ST,BKS072
31160067,S,40.6136064827,-73.9813739318,65 ST,BAY PKWY,BKS111
30430055,S,40.6893938411,-73.9055603757,WILSON AV,COOPER ST,BKN043
30430112,D,40.6817081226,-73.9071174608,Street Name TBD,,BKN043
30650074,S,40.6685088819,-73.9905560465,4 AV,12 ST,BKS065
31430010,H,40.6344923683,-73.9497946907,FLATBUSH AV,GLENWOOD RD,BKS143
31740035,S,40.6467128457,-73.9489769773,NOSTRAND AV,TILDEN AV,BKN174
31230016,S,40.6413307534,-73.9857197682,13 AVE,38 ST,BKS123
31620177,S,40.6775289272,-73.9137693257,THOMAS S BOYLAND ST,HERKIMER ST,BKN162
30320124,R,40.6790949077,-73.9498334591,NOSTRAND AVE,HERKIMER PL,BKN032
30640062,S,40.6718970438,-73.9837606079,5 AV,4 ST,BKS064
31120027,S,40.6133493232,-73.9962414831,BAY RIDGE PKWY,18 AV,BKS112
30230157,H,40.6868728912,-73.976641871,LAFAYETTE AV,FT GREENE PL,BKN023
31530015,H,40.5834678149,-73.9437220372,EMMONS AV,E 23 ST,BKS153
30910071,H,40.6675247281,-73.9370109385,PRESIDENT ST,TROY AV,BKN091
31510128,D,40.6058317414,-73.9671551047,OCEAN PKWY,KINGS HWY,BKS151
30220141,H,40.6888888016,-73.9905667032,ATLANTIC AV,BOERUM PL,BKN022
30330147,R,40.6794429839,-73.9442167035,BROOKLYN AV,HERKIMER ST,BKN033
30210022,S,40.6937648619,-73.9927956443,REMSEN ST,CLINTON ST,BKN021
30310078,S,40.6941579145,-73.958119823,MYRTLE AV,FRANKLIN AV,BKN031
30830037,S,40.6704089998,-73.9255207606,ST JOHNS PLACE,BUFFALO AV,BKN083
30910002,S,40.6656546774,-73.9423028818,CROWN ST,KINGSTON AV,BKN091
